0.558839,1.643261
1.135218,3.298449
1.292233,4.317444
1.731773,4.292910
0.376881,1.234585
1.529740,4.322690
0.821648,2.273181
0.740200,2.392481
1.689147,4.471996
1.833402,4.749830
1.118546,3.307957
0.957579,3.287438
1.397140,3.766729
0.157195,1.356051
0.054072,0.914218
0.977968,3.116244
1.991509,4.798414
1.167114,3.188243
1.178361,3.364121
0.001364,0.984844
0.653168,2.686284
1.084908,3.325208
1.371329,3.701835
0.110400,0.755327
1.411002,3.721373
0.449237,1.667590
1.899989,5.080494
0.036444,1.168319
0.667468,2.210481
1.329116,3.384779
